Groupe,Seuil,Spot,Site,Mois,Nb_Enregistrements,Nb_Détections,Taux_Détection,Proba_Moyenne,Proba_Médiane,Proba_Max
Buzz (Insectes),0.3,D04,Peclerey 1400 (Helico),Avril,6533,43,0.006581968467778968,0.010062735936658504,0.0036195868,0.9020636
Buzz (Insectes),0.3,D04,Peclerey 1400 (Helico),Mai,9578,106,0.01106702860722489,0.011859509980720818,0.00284609085,0.9361989
Buzz (Insectes),0.3,D04,Peclerey 1400 (Helico),Juin,3250,13,0.004,0.005410769067153845,0.0023745746,0.8525139
Buzz (Insectes),0.3,D05,Loriaz 1600 (voix),Avril,4336,3,0.0006918819188191881,0.004223964293582795,0.002678251,0.9038885
Buzz (Insectes),0.3,D05,Loriaz 1600 (voix),Mai,9732,55,0.005651459103986847,0.007708550713219277,0.0028156530000000004,0.9507712
Buzz (Insectes),0.3,D05,Loriaz 1600 (voix),Juin,2748,19,0.006914119359534207,0.009441482372080059,0.0028314417000000003,0.92182434
Buzz (Insectes),0.3,D08,Loriaz 2100 (vent),Mai,3365,222,0.06597325408618128,0.05431882444276077,0.002511135,0.9328954
Buzz (Insectes),0.3,D08,Loriaz 2100 (vent),Juin,6279,1152,0.18346870520783565,0.14406285150012105,0.0087833,0.965129
Buzz (Insectes),0.485,D04,Peclerey 1400 (Helico),Avril,6533,35,0.0053574161947038115,0.010062735936658504,0.0036195868,0.9020636
Buzz (Insectes),0.485,D04,Peclerey 1400 (Helico),Mai,9578,86,0.00897891000208812,0.011859509980720818,0.00284609085,0.9361989
Buzz (Insectes),0.485,D04,Peclerey 1400 (Helico),Juin,3250,11,0.003384615384615385,0.005410769067153845,0.0023745746,0.8525139
Buzz (Insectes),0.485,D05,Loriaz 1600 (voix),Avril,4336,2,0.00046125461254612545,0.004223964293582795,0.002678251,0.9038885
Buzz (Insectes),0.485,D05,Loriaz 1600 (voix),Mai,9732,44,0.004521167283189478,0.007708550713219277,0.0028156530000000004,0.9507712
Buzz (Insectes),0.485,D05,Loriaz 1600 (voix),Juin,2748,17,0.006186317321688501,0.009441482372080059,0.0028314417000000003,0.92182434
Buzz (Insectes),0.485,D08,Loriaz 2100 (vent),Mai,3365,181,0.053789004457652306,0.05431882444276077,0.002511135,0.9328954
Buzz (Insectes),0.485,D08,Loriaz 2100 (vent),Juin,6279,963,0.1533683707596751,0.14406285150012105,0.0087833,0.965129
Anthropophony (Humain),0.3,D04,Peclerey 1400 (Helico),Avril,6533,64,0.009796418184601256,0.04036097193053727,0.026876643,0.89376193
Anthropophony (Humain),0.3,D04,Peclerey 1400 (Helico),Mai,9578,60,0.006264355815410315,0.041531987970338274,0.030563417000000002,0.8292972
Anthropophony (Humain),0.3,D04,Peclerey 1400 (Helico),Juin,3250,15,0.004615384615384616,0.04040540219366154,0.0280620205,0.8551881
Anthropophony (Humain),0.3,D05,Loriaz 1600 (voix),Avril,4336,41,0.009455719557195572,0.04169169294610239,0.0300434425,0.89167535
Anthropophony (Humain),0.3,D05,Loriaz 1600 (voix),Mai,9732,156,0.016029593094944512,0.04317493212703453,0.0279180435,0.89929193
Anthropophony (Humain),0.3,D05,Loriaz 1600 (voix),Juin,2748,21,0.007641921397379912,0.03700001768751819,0.0260978445,0.8061681
Anthropophony (Humain),0.3,D08,Loriaz 2100 (vent),Mai,3365,6,0.0017830609212481426,0.0261547779789896,0.019202406,0.9271609
Anthropophony (Humain),0.3,D08,Loriaz 2100 (vent),Juin,6279,10,0.0015926102882624622,0.02353368023076923,0.016820371,0.77705467
Anthropophony (Humain),0.5,D04,Peclerey 1400 (Helico),Avril,6533,27,0.004132863921628654,0.04036097193053727,0.026876643,0.89376193
Anthropophony (Humain),0.5,D04,Peclerey 1400 (Helico),Mai,9578,22,0.0022969304656504487,0.041531987970338274,0.030563417000000002,0.8292972
Anthropophony (Humain),0.5,D04,Peclerey 1400 (Helico),Juin,3250,4,0.0012307692307692308,0.04040540219366154,0.0280620205,0.8551881
Anthropophony (Humain),0.5,D05,Loriaz 1600 (voix),Avril,4336,34,0.007841328413284132,0.04169169294610239,0.0300434425,0.89167535
Anthropophony (Humain),0.5,D05,Loriaz 1600 (voix),Mai,9732,85,0.008734073160706946,0.04317493212703453,0.0279180435,0.89929193
Anthropophony (Humain),0.5,D05,Loriaz 1600 (voix),Juin,2748,8,0.002911208151382824,0.03700001768751819,0.0260978445,0.8061681
Anthropophony (Humain),0.5,D08,Loriaz 2100 (vent),Mai,3365,5,0.0014858841010401188,0.0261547779789896,0.019202406,0.9271609
Anthropophony (Humain),0.5,D08,Loriaz 2100 (vent),Juin,6279,5,0.0007963051441312311,0.02353368023076923,0.016820371,0.77705467
Geophony (Naturel),0.3,D04,Peclerey 1400 (Helico),Avril,6533,562,0.08602479718352977,0.08401546828679474,0.034150768,0.91767514
Geophony (Naturel),0.3,D04,Peclerey 1400 (Helico),Mai,9578,493,0.05147212361662142,0.06451868113142932,0.0286039815,0.86924076
Geophony (Naturel),0.3,D04,Peclerey 1400 (Helico),Juin,3250,198,0.06092307692307692,0.06823215450812307,0.0281660205,0.85006225
Geophony (Naturel),0.3,D05,Loriaz 1600 (voix),Avril,4336,231,0.05327490774907749,0.06240621078314115,0.03493175,0.83634126
Geophony (Naturel),0.3,D05,Loriaz 1600 (voix),Mai,9732,477,0.04901356350184957,0.06313626441699549,0.031620768,0.84571457
Geophony (Naturel),0.3,D05,Loriaz 1600 (voix),Juin,2748,115,0.041848617176128096,0.05933050256663028,0.0319788865,0.8366043
Geophony (Naturel),0.3,D08,Loriaz 2100 (vent),Mai,3365,598,0.17771173848439822,0.13622478885139377,0.040510237,0.8286789
Geophony (Naturel),0.3,D08,Loriaz 2100 (vent),Juin,6279,1674,0.2666029622551362,0.19103523632219144,0.0936304,0.87327135
Geophony (Naturel),0.5,D04,Peclerey 1400 (Helico),Avril,6533,369,0.05648247359559161,0.08401546828679474,0.034150768,0.91767514
Geophony (Naturel),0.5,D04,Peclerey 1400 (Helico),Mai,9578,254,0.026519106285237,0.06451868113142932,0.0286039815,0.86924076
Geophony (Naturel),0.5,D04,Peclerey 1400 (Helico),Juin,3250,132,0.040615384615384616,0.06823215450812307,0.0281660205,0.85006225
Geophony (Naturel),0.5,D05,Loriaz 1600 (voix),Avril,4336,98,0.022601476014760147,0.06240621078314115,0.03493175,0.83634126
Geophony (Naturel),0.5,D05,Loriaz 1600 (voix),Mai,9732,183,0.0188039457459926,0.06313626441699549,0.031620768,0.84571457
Geophony (Naturel),0.5,D05,Loriaz 1600 (voix),Juin,2748,50,0.018195050946142648,0.05933050256663028,0.0319788865,0.8366043
Geophony (Naturel),0.5,D08,Loriaz 2100 (vent),Mai,3365,262,0.07786032689450223,0.13622478885139377,0.040510237,0.8286789
Geophony (Naturel),0.5,D08,Loriaz 2100 (vent),Juin,6279,741,0.11801242236024845,0.19103523632219144,0.0936304,0.87327135
