fly_housefly,bee_wasp,water,wind,motor_vehicle,aircraft,human_voice
"Fly, housefly","Bee, wasp, etc.",Water,Wind,Motor vehicle (road),Aircraft,Human voice
Buzz,Buzz,Stream,Rustling leaves,Car,"Fixed-wing aircraft, airplane",Speech
,,Waterfall,Wind noise (microphone),"Vehicle horn, car horn, honking",Jet engine,"Male speech, man speaking"
,,Rain,Howl,Toot,"Propeller, airscrew","Female speech, woman speaking"
,,Raindrop,,Car alarm,Helicopter,"Child speech, kid speaking"
,,Rain on surface,,"Power windows, electric windows",Aircraft engine,Conversation
,,Stream,,Skidding,,"Narration, monologue"
,,"Trickle, dribble",,Tire squeal,,Babbling
,,"Gush, splash",,Car passing by,,Speech synthesizer
,,Fill (with liquid),,"Race car, auto racing",,Shout
,,Spray,,Truck,,Bellow
,,Pump (liquid),,Air brake,,Whoop
,,Stir,,"Air horn, truck horn",,Yell
,,Boiling,,Reversing beeps,,Battle cry
,,Pour,,"Ice cream truck, ice cream van",,Children shouting
,,Slosh,,Bus,,Screaming
,,Squish,,Emergency vehicle,,Whispering
,,,,Police car (siren),,Laughter
,,,,Ambulance (siren),,Baby laughter
,,,,"Fire engine, fire truck (siren)",,Giggle
,,,,Motorcycle,,Snicker
,,,,"Traffic noise, roadway noise",,Belly laugh
,,,,,,"Chuckle, chortle"
,,,,,,"Crying, sobbing"
,,,,,,"Baby cry, infant cry"
,,,,,,Whimper
,,,,,,"Wail, moan"
,,,,,,Sigh
,,,,,,Singing
,,,,,,Choir
,,,,,,Yodeling
,,,,,,Chant
,,,,,,Mantra
,,,,,,Male singing
,,,,,,Female singing
,,,,,,Child singing
,,,,,,Synthetic singing
,,,,,,Rapping
,,,,,,Humming
,,,,,,Groan
,,,,,,Grunt
,,,,,,Whistling
